"asa_code","regex"
"716059","716059: Group (?<group>.*?) User (?<user>.*?) IP (?<vpn_client_ip>.*?) AnyConnect session resumed"
"716603","716603:\s*Received\s+(?<bytes_in>\d+)\s+KB\s+Hostscan\s+data\s+from\s+IP\s+(?:\<\s*)?(?:(?<src_ip>(?:\d+\.\d+\.\d+\.\d+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>[^\s\>]+))"
"722001","72200[13]: *IP +(?:\<\s*)?(?<src_ip>[^\>\s]+)(?:\s*\>)?"
"722003","72200[13]: *IP +(?:\<\s*)?(?<src_ip>[^\>\s]+)(?:\s*\>)?"
"722010","72201[012]: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^\s\>]+)(?:\s*\>)?\s+SVC\s+Message\s*:\s*(?<message_type>\d+)\s*\/\s*\S+\s*:\s*(?<message>.+?)[\s\.]*$"
"722011","72201[012]: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^\s\>]+)(?:\s*\>)?\s+SVC\s+Message\s*:\s*(?<message_type>\d+)\s*\/\s*\S+\s*:\s*(?<message>.+?)[\s\.]*$"
"722012","72201[012]: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^\s\>]+)(?:\s*\>)?\s+SVC\s+Message\s*:\s*(?<message_type>\d+)\s*\/\s*\S+\s*:\s*(?<message>.+?)[\s\.]*$"
"722022","722022: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^\s\>]+)(?:\s*\>)?\s+(?<transport>\S+)(?:\s+(?<signature>SVC))?\s+connection\s+(?<vendor_action>\S+)"
"722023","722023: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s*(?:\<\s*)?(?<dest_ip>[^\>\s]+)(?:\s*\>)?(?:\s+(?<transport>\S+))?\s+(?<signature>\S+)\s+connection\s+(?<vendor_action>\S+)"
"722028","722028: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<dest_ip>[^\>\s]+)(?:\s*\>)?\s+Stale\s+(?<signature>\S+)\s+connection\s+(?<vendor_action>\w+)"
"722029","722029: *Group +(?:<\s*)?(?<group>[^\>]+)(?:\s*>)?\s+User\s+(?:<\s*)?(?<user>[^\>\s]+)(?:\s*>)?\s+IP\s+(?:<\s*)?(?<src_ip>[^\>\s]+)(?:\s*>)?\s+(?<signature>\S+)\s+Session\s+(?<vendor_action>\S+)\s*:\s*Conns\s*:\s*(?<total_connections>\d+)\s*,\s*DPD\s+Conns\s*:\s*(?<number_of_reconnections>\d+)\s*,\s*Comp\s+resets\s*:\s*(?<compression_resets>\d+)\s*,\s*Dcmp\s+resets\s*:\s*(?<decompression_resets>\d+)\.?"
"722030","722030: *Group +(?:<\s*)?(?<group>[^>]+)(?:\s*>)?\s+User\s+(?:<\s*)?(?<user>[^>\s]+)(?:\s*>)?\s*IP\s+(?:<\s*)?(?<src_ip>[^>\s]+)(?:\s*>)?\s+(?<signature>\S+)\s+Session\s+(?<vendor_action>\S+)\s*:\s*In\s*:\s*(?<inbound_data_bytes>\d+)\s*\(\s*\+(?<inbound_control_bytes>\d+)\s*\)\s*bytes\s*,\s*(?<inbound_data_packets>\d+)\s*\(\s*\+(?<inbound_control_packets>\d+)\s*\)\s*packets\s*,\s*(?<dropped_inbound_packets>\d+)"
"722031","722031: *Group +(?:<\s*)?(?<group>[^>]+)(?:\s*>)?\s*User\s+(?:<\s*)?(?<user>[^>\s]+)(?:\s*>)?\s+IP\s+(?:<\s*)?(?<src_ip>[^>\s]+)(?:\s*>)?\s+(?<signature>\S+)\s+Session\s+(?<vendor_action>\S+)\s*:\s*Out\s*:\s*(?<outbound_data_bytes>\d+)\s+\(\s*\+(?<outbound_control_bytes>\d+)\s*\)\s*bytes\s*,\s*(?<outbound_data_packets>\d+)\s*\(\s*\+(?<outbound_control_packets>\d+)\s*\)\s*packets\s*,\s*(?<dropped_outbound_packets>\d+)"
"722032","72203[2-4]: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^>\s]+)(?:\s*\>)?\s+\S+\s*(?<transport>\S+)?\s+SVC\s+connection(?:\s+(?<vendor_action>\S+))?"
"722033","72203[2-4]: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^>\s]+)(?:\s*\>)?\s+\S+\s*(?<transport>\S+)?\s+SVC\s+connection(?:\s+(?<vendor_action>\S+))?"
"722034","72203[2-4]: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^>\s]+)(?:\s*\>)?\s+\S+\s*(?<transport>\S+)?\s+SVC\s+connection(?:\s+(?<vendor_action>\S+))?"
"722036","722036: *Group +(?:<\s*)?(?<group>[^\>]+)(?:\s*>)?\s+User\s+(?:<\s*)?(?<user>[^\>\s]+)(?:\s*>)?\s+IP\s+(?:<\s*)?(?<dest_ip>[^\>\s]+)(?:\s*>)?\s+Transmitting\s+large\s+packet\s+(?<bytes_out>\d+)\s*\(\s*threshold\s*(?<threshold>\d+)\s*\)"
"722037","722037: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<dest_ip>[^\>\s]+)(?:\s*\>)?\s+(?<signature>\S+)\s+(?<vendor_action>\S+)\s+connection\s*:\s*(?<reason>.+?)[\s\.]*$"
"722041","722041:\s*TunnelGroup\s+(?:\<\s*)?(?<tunnel_group>[^\>\s]+)(?:\s*\>)?\s+GroupPolicy\s+(?:\<\s*)?(?<group_policy>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^\>\s]+)(?:\s*\>)?"
"722051","722051: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\>\s*)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\>\s*)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^\>\s]+)(?:\>\s*)?\s+IPv4\s+[Aa]ddress\s+(?:\<\s*)?(?<assigned_ipv4>[^\>\s]+)(?:\>\s*)?\s+IPv6\s+[Aa]ddress\s+(?:\<\s*)?(?<assigned_ipv6>[^\>\s]+)(?:\>\s*)?\s+(?<vendor_action>\S+)"
"722053","72205[35]: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^\>\s]+)(?:\s*\>)?(?:\s+Unknown)?\s+(?:client\s+(?:\<\s*)?(?<user_agent>[^\>]+)(?:\s*\>)?\s+connection|Client\s+Type\s*:\s+?<user_agent_ALT>(.+))?"
"722055","72205[35]: *Group +(?:\<\s*)?(?<group>[^\>]+)(?:\s*\>)?\s+User\s+(?:\<\s*)?(?<user>[^\>\s]+)(?:\s*\>)?\s+IP\s+(?:\<\s*)?(?<src_ip>[^\>\s]+)(?:\s*\>)?(?:\s+Unknown)?\s+(?:client\s+(?:\<\s*)?(?<user_agent>[^\>]+)(?:\s*\>)?\s+connection|Client\s+Type\s*:\s+?<user_agent_ALT>(.+))?"
"725001","72500[12]:\s*(?:Starting|Device\s+completed)\s+SSL\s+handshake\s+with\s+(?<peer_type>\S+)\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\S+)\s+to\s+(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\S+)\s+for"
"725002","72500[12]:\s*(?:Starting|Device\s+completed)\s+SSL\s+handshake\s+with\s+(?<peer_type>\S+)\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\S+)\s+to\s+(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\S+)\s+for"
"725003","725003:\s*SSL\s+(?<peer_type>\S+)\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d{1,5})\s+(?:to\s+(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5})\s+)?"
"725006","72500[67]:\s*(?:Device\s+(?<vendor_action>\S+)\s+)?SSL\s+\S+\s+with\s+(?<peer_type>\S+)\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d{1,5})(?:\s+to\s+(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5}))?(?:\s+(?<vendor_action_ALT>\w+))?"
"725007","72500[67]:\s*(?:Device\s+(?<vendor_action>\S+)\s+)?SSL\s+\S+\s+with\s+(?<peer_type>\S+)\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d{1,5})(?:\s+to\s+(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5}))?(?:\s+(?<vendor_action_ALT>\w+))?"
"725008","725008:\s*SSL\s+(?<peer_type>\S+)\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d{1,5})\s+to\s+(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5})\s+proposes\s+the\s+following\s+(?<supported_ciphers>\d+)\s+cipher(?:\(s\))?\.?"
"725010","725010: *Device +supports +the +following +(?<supported_ciphers>\d+)"
"725011","725011:?\s*Cipher\s*\[\s*(?<order>\d+) *\] *: *(?<cipher_name>.+)"
"725012","725012:\s*Device\s+chooses\s+cipher\s+(?<cipher_name>.+?(?=\s+for))\s+for\s+the\s+SSL\s+session\s+with\s+(?<peer_type>\S+)\s+(?<src_interface>[^:\s]+)\s*:\s*(?:(?<src_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<src_host>\S+))\s*\/\s*(?<src_port>\d{1,5})\s+to\s+(?:(?<dest_ip>(?:[\d+.]+|[0-9A-Za-f]*:[0-9A-Za-f]*:[0-9A-Za-f:]*))|(?<dest_host>\S+))\s*\/\s*(?<dest_port>\d{1,5})"
"725014","SSL\s+lib\s+error *\. *Function\s*:\s*(?<function>\S+)\s+Reason\s*:\s*(?<reason>.+?)[\s\.]*$"
"505007","505007: *(?<object_category>\S+) +(?<object_id>\S+) +(?:(?:in\s+slot\s+)?(?<slot_num>\d+)\s+)?is\s+(?<action>[^\.\s]+)"
"505008","505008: *Module +(?<object_id>\S+)\s+(?:(?:in\s+slot\s+)?(?<slot_num>\d+)\s+)?(?<object_category>\S+)\s+is\s+being\s+(?<action>\S+)\s+to\s+(?<new_app_version>\S+)\s*\(\s*currently\s+(?<old_app_version>[^\s\)]+)\s*\)"
"505009","505009: *Module +(?<object_id>\S+)\s+(?<object_category>\S+)\s+was\s+(?<vendor_action>\S+)\s+to\s+(?<new_app_version>.+?)[\s\.]*$"
"505010","505010: *Module +(?<object_id>\S+)\s+slot\s+(?<slot_num>\S+)\s+(?<action>\w+)"
"505011","505011: *Module +(?<object>[^,\s]+)"
